"Year","Month","Commercial Imports","Government Imports","Total","Domestic FOB","Re-Exports","Total FOB","Trade Balance"
"2022","June","221,745.46","5,968.85","227,714.31","68,569.27","11,297.15","79,866.43","-147,847.88"
"2022","May","228,958.81","4,479.54","233,438.35","70,735.12","6,695.87","77,430.99","-156,007.36"
"2022","April","190,821.31","4,462.13","195,283.44","62,535.51","6,424.16","68,959.68","-126,323.76"
"2022","March","201,769.25","11,747.37","213,516.62","67,475.99","9,587.16","77,063.15","-136,453.46"
"2022","February","176,754.53","7,058.11","183,812.64","61,223.10","9,069.16","70,292.26","-113,520.38"
"2022","January","183,996.80","10,275.82","194,272.63","54,009.04","6,399.25","60,408.28","-133,864.35"
"2021","December","225,063.25","10,215.98","235,279.23","57,700.09","8,341.88","66,041.96","-169,237.27"
"2021","November","185,758.97","5,942.95","191,701.92","55,310.88","8,883.95","64,194.83","-127,507.09"
"2021","October","175,227.34","12,268.81","187,496.16","58,752.27","6,647.60","65,399.88","-122,096.28"
"2021","September","182,561.72","7,867.48","190,429.21","48,742.21","5,215.73","53,957.95","-136,471.26"
"2021","August","166,749.51","5,958.54","172,708.06","55,120.28","6,052.89","61,173.17","-111,534.88"
"2021","July","172,308.02","4,769.47","177,077.48","54,729.64","4,517.02","59,246.66","-117,830.82"
"2021","June","150,465.49","9,483.88","159,949.38","52,266.76","4,421.78","56,688.54","-103,260.84"
"2021","May","155,585.21","6,105.27","161,690.48","56,884.67","6,223.20","63,107.88","-98,582.61"
"2021","April","158,380.44","3,308.88","161,689.32","53,337.49","5,456.78","58,794.26","-102,895.06"
"2021","March","181,321.23","6,107.27","187,428.50","61,680.91","8,001.69","69,682.60","-117,745.90"
"2021","February","156,123.22","3,210.30","159,333.53","58,976.81","8,426.74","67,403.54","-91,929.98"
"2021","January","156,269.04","4,448.10","160,717.15","49,570.48","4,743.15","54,313.63","-106,403.51"
"2020","December","157,812.81","3,643.12","161,455.92","52,301.77","5,209.68","57,511.45","-103,944.48"
"2020","November","135,617.13","3,422.50","139,039.63","47,390.54","3,398.23","50,788.78","-88,250.86"
"2020","October","139,940.08","5,224.07","145,164.16","49,268.04","3,842.80","53,110.84","-92,053.32"
"2020","September","137,750.29","5,586.60","143,336.89","48,314.00","7,858.95","56,172.95","-87,163.94"
"2020","August","129,855.89","7,933.27","137,789.16","49,828.12","4,660.60","54,488.71","-83,300.45"
"2020","July","134,311.89","5,451.05","139,762.95","45,658.89","6,307.82","51,966.71","-87,796.24"
"2020","June","117,311.02","4,259.41","121,570.43","44,477.15","3,527.70","48,004.85","-73,565.58"
"2020","May","101,934.49","7,315.59","109,250.08","41,785.31","5,399.70","47,185.01","-62,065.07"
"2020","April","113,570.00","2,852.78","116,422.78","40,655.39","2,537.29","43,192.68","-73,230.10"
"2020","March","133,386.04","4,174.52","137,560.56","49,917.32","14,538.07","64,455.39","-73,105.17"
"2020","February","130,445.65","3,018.23","133,463.88","47,784.50","13,253.88","61,038.38","-72,425.50"
"2020","January","152,682.32","2,748.59","155,430.90","47,325.13","5,801.08","53,126.22","-102,304.69"
"2019","December","150,798.46","4,463.04","155,261.49","38,656.30","4,111.59","42,767.89","-112,493.61"
"2019","November","156,277.45","2,910.54","159,187.99","43,825.33","7,990.25","51,815.58","-107,372.41"
"2019","October","154,674.62","4,500.78","159,175.40","45,454.98","5,638.50","51,093.48","-108,081.93"
"2019","September","147,789.19","1,585.54","149,374.73","40,099.57","6,389.72","46,489.29","-102,885.44"
"2019","August","142,859.05","2,645.19","145,504.24","44,613.61","5,036.31","49,649.92","-95,854.32"
"2019","July","146,866.00","6,724.24","153,590.23","40,547.21","9,677.03","50,224.24","-103,365.99"
"2019","June","147,528.19","1,911.06","149,439.25","45,771.01","5,417.41","51,188.42","-98,250.83"
"2019","May","151,829.43","4,007.19","155,836.62","39,682.45","6,784.05","46,466.51","-109,370.12"
"2019","April","148,199.32","1,952.89","150,152.21","43,355.29","5,457.21","48,812.50","-101,339.70"
"2019","March","121,804.42","3,447.05","125,251.46","46,599.76","6,061.34","52,661.10","-72,590.36"
