Timestamp,Which Room were you in?,Provide your self rating for the activity. What is your name?,Provide a self evaluation of your work in the group. [Contributions & Attitude],Provide a self evaluation of your work in the group. [Cooperation with Others],"Provide a self evaluation of your work in the group. [Focus, Commitments]",Provide a self evaluation of your work in the group. [Team Role Fulfillment],Provide a self evaluation of your work in the group. [Ability to Communicate],Provide a self evaluation of your work in the group. [Accuracy],First-Ratee,Group Activity Rating [Contributions & Attitude],Group Activity Rating [Cooperation with Others],"Group Activity Rating [Focus, Commitments]",Group Activity Rating [Team Role Fulfillment],Group Activity Rating [Ability to Communicate],Group Activity Rating [Accuracy],Second-Ratee,Group Activity Rating [Contributions & Attitude],Group Activity Rating [Cooperation with Others],"Group Activity Rating [Focus, Commitments]",Group Activity Rating [Team Role Fulfillment],Group Activity Rating [Ability to Communicate],Group Activity Rating [Accuracy],Thrid-Ratee,Group Activity Rating [Contributions & Attitude],Group Activity Rating [Cooperation with Others],"Group Activity Rating [Focus, Commitments]",Group Activity Rating [Team Role Fulfillment],Group Activity Rating [Ability to Communicate],Group Activity Rating [Accuracy],Rator
10/29/21 9:58,Room M,,Four,Four,Four,Four,Four,Three,ratee-01,Four,Four,Four,Four,Four,Four,ratee-31,Four,Four,Four,Four,Four,Four,ratee-44,Four,Four,Three,Three,Four,Four,rator-01
10/29/21 9:58,Room N,,Three,Three,Three,Three,Three,Two,ratee-02,Four,Four,Four,Four,Four,Three,ratee-42,Four,Four,Four,Four,Four,Three,ratee-62,Four,Four,Four,Four,Four,Three,rator-02
10/29/21 9:58,Room O,,Four,Three,Three,Three,Three,Three,ratee-03,Four,Three,Three,Four,Four,Three,ratee-43,Four,Four,Three,Three,Four,Three,ratee-18,Four,Two,Three,Three,Two,Three,rator-03
10/29/21 9:58,Room M,,Two,Four,Four,Three,Four,Two,ratee-04,Four,Three,Four,Four,Three,Four,ratee-44,Four,Four,Four,Four,Four,Four,ratee-72,Three,Four,Four,Four,Four,Four,rator-04
10/29/21 9:58,Room M,,Four,Three,Four,Four,Three,Four,ratee-01,Four,Four,Four,Four,Four,Four,ratee-44,Four,Four,Four,Four,Four,Four,ratee-72,Four,Four,Four,Four,Four,Three,rator-05
10/29/21 9:58,Room P,,Three,Three,Three,Three,Two,One,#N/A,,,,,,,#N/A,,,,,,,#N/A,,,,,,,rator-06
10/29/21 9:59,Room Q,,Two,Three,Three,Two,Two,Two,ratee-05,Four,Four,Four,Four,Four,Three,ratee-45,Four,Four,Four,Four,Four,Four,ratee-10,Four,Four,Four,Three,Four,Four,rator-07
10/29/21 9:59,Room R,,Three,Four,Three,Three,Four,Three,ratee-06,Three,Four,Four,Four,Four,Three,ratee-12,Four,Three,Three,Four,Four,Three,ratee-23,Four,Four,Four,Three,Four,Four,rator-08
10/29/21 9:59,Room Q,,Four,Four,Four,Four,Three,,ratee-05,Four,Four,Four,Three,Three,Three,ratee-45,Four,Three,Four,Four,Three,Three,ratee-73,Three,Four,Three,Three,Three,Three,rator-36
10/29/21 9:59,Room R,,Four,Four,Four,Four,Four,Three,ratee-07,Three,Three,Four,Three,Four,Three,ratee-41,Four,Three,Three,Four,Four,Four,ratee-68,Four,Four,Four,Three,Four,Four,rator-09
10/29/21 9:59,Room R,,Two,Three,Two,Two,Three,Two,ratee-08,Three,Three,Three,Three,Three,Two,ratee-46,Three,Three,Three,Three,Two,Three,ratee-74,Three,Three,Three,Three,Three,Two,rator-10
10/29/21 9:59,Room N,,Four,Four,Four,Four,Three,Four,ratee-02,Four,Four,Four,Four,Four,Four,ratee-28,Four,Four,Four,Four,Four,Four,ratee-09,Four,Four,Four,Four,Four,Three,rator-11
10/29/21 9:59,Room N,,Three,Three,Three,Two,Four,Three,ratee-09,Four,Four,Four,Three,Four,Three,ratee-47,Two,Two,Three,Two,Two,Two,ratee-62,Four,Four,Four,Four,Four,Four,rator-12
10/29/21 9:59,Room O,,Four,Three,Three,Three,,Two,ratee-03,Four,Four,Four,Four,Three,Three,ratee-43,Three,Four,Three,Three,Three,Four,ratee-75,Three,Four,Three,Three,Four,Three,rator-37
10/29/21 10:00,Room Q,,Four,Four,Four,Four,Four,Four,ratee-10,Four,Four,Four,Four,Four,Four,ratee-45,Four,Four,Four,Four,Four,Three,ratee-76,Two,Two,One,Two,Two,Two,rator-13
10/29/21 10:00,Room S,,Four,Four,Three,Three,Three,Two,ratee-11,Four,Four,Three,Three,Four,Four,ratee-15,Three,Three,Three,Two,Two,Two,ratee-77,Four,Four,Three,Three,Three,Two,rator-14
10/29/21 10:00,Room R,,Three,Three,Four,Three,Four,Two,ratee-12,Three,Four,Three,Four,Three,Two,ratee-48,Four,Three,Three,Four,Three,Four,ratee-78,Three,Three,Three,Three,Three,Two,rator-15
10/29/21 10:01,Room S,,Three,Four,Four,Three,Four,Three,ratee-11,Four,Four,Three,Three,Four,Three,ratee-15,Four,Three,Four,Four,Three,Three,ratee-59,Three,Four,Three,Four,Three,Three,rator-16
10/29/21 10:01,Room P,,Three,Three,Three,Four,Three,Three,ratee-13,Four,Four,Four,Four,Four,Four,ratee-49,Four,Three,Three,Three,Four,Four,ratee-52,Four,Four,Four,Four,Four,Four,rator-17
10/29/21 10:01,Room O,,Three,Three,Two,Three,Three,Three,ratee-03,Three,Three,Four,Two,Three,Three,ratee-50,Three,Four,Three,Three,Four,Three,ratee-14,Four,Four,Three,Three,Three,Three,rator-18
10/29/21 10:01,Room O,,Four,Four,Four,Three,Four,Three,ratee-14,Four,Four,Four,Four,Four,Three,ratee-43,Four,Four,Four,Four,Four,Three,ratee-03,Four,Four,Four,Four,Four,Three,rator-19
10/29/21 10:02,Room S,,Three,Two,Two,Two,Three,One,ratee-15,Four,Three,Three,Three,Three,Two,ratee-19,Four,Four,Four,One,Two,Three,#N/A,,,,,,,rator-20
10/29/21 10:02,Room S,,Three,Three,Three,One,One,Three,ratee-15,Three,Three,Two,Two,Two,Two,ratee-24,Three,Three,Three,Three,Two,Three,ratee-71,One,One,One,One,One,One,rator-21
10/29/21 10:02,Room Q,,Four,Four,Four,Four,Three,Three,ratee-05,Four,Four,Four,Four,Four,Three,ratee-10,Four,Four,Four,Four,Four,Three,ratee-73,Four,Four,Four,Four,Three,Three,rator-22
10/29/21 10:02,Room O,,Three,Two,Two,Three,Three,Two,ratee-16,Two,Three,Three,Three,Three,Three,ratee-51,Four,Three,Three,Three,Three,,ratee-03,Three,Three,Three,Three,Two,Three,rator-23
10/29/21 10:02,Room P,,Four,Three,Four,Four,Three,Three,ratee-13,Four,Four,Three,Four,Three,Three,ratee-52,Three,Four,Three,Three,Three,Three,ratee-53,Three,Three,Three,Two,Three,Two,rator-24
10/29/21 10:03,Room N,,Four,Four,Four,Four,Four,Two,ratee-17,Four,Four,Four,Four,Four,Three,ratee-38,Four,Four,Four,Four,Four,Three,ratee-79,Four,Four,Four,Four,Four,Three,rator-25
10/29/21 10:03,Room R,,Two,Two,Two,Two,Two,Two,ratee-08,Four,Four,Four,Four,Four,,ratee-41,Four,Four,Four,Three,Four,Three,ratee-80,Four,Three,Four,Four,Four,Three,rator-26
10/29/21 10:03,Room P,,Three,Two,Three,Three,Two,Three,ratee-13,Four,Three,Three,Four,Three,Three,ratee-53,Four,Two,Three,Three,Three,Three,ratee-52,Four,Three,Three,Four,Three,Three,rator-27
10/29/21 10:03,Room M,,Three,Three,Two,Two,Three,Two,ratee-01,Three,Four,Three,Three,Three,Three,ratee-44,Two,Three,Two,Three,Two,Two,ratee-31,Three,Two,Three,Two,Two,Three,rator-28
10/29/21 10:03,Room O,,Four,Three,Three,Four,Four,Three,ratee-18,Two,Three,Two,Two,Two,Three,ratee-43,Four,Three,Three,Four,Four,Three,ratee-81,Three,Four,Two,Four,Three,Three,rator-29
10/29/21 10:03,Room R,,Four,Four,Four,Four,Four,Three,ratee-12,Four,Four,Four,Four,Four,Three,ratee-06,Four,Four,Four,Four,Four,Three,ratee-70,Four,Four,Four,Four,Three,Three,rator-30
10/29/21 10:04,Room S,,Three,Two,Three,Two,Three,One,ratee-19,Three,Three,Three,Two,Three,Two,ratee-40,Three,Three,Three,Three,Two,Two,ratee-82,One,One,One,One,One,One,rator-31
10/29/21 10:04,Room P,,Four,Three,Four,Three,Two,Two,ratee-20,Four,Four,Four,Four,Four,Four,ratee-54,Four,Four,Four,Four,Four,Four,ratee-83,Four,Four,Four,Four,Four,Four,rator-32
10/29/21 10:05,Room Q,,Three,Three,Three,Three,Two,Two,ratee-05,Four,Four,Four,Four,Four,Three,ratee-10,Four,Four,Four,Four,Four,Three,ratee-84,Four,Four,Four,Four,Four,Three,rator-33
10/29/21 10:05,Room N,,Four,Four,Four,Four,Four,Four,ratee-21,Four,Four,Three,Four,Four,Four,ratee-09,Four,Four,Four,Four,Four,Four,ratee-62,Four,Four,Four,Three,Four,Three,rator-34
10/29/21 10:06,Room S,,Three,Four,Three,Three,Two,Two,ratee-22,Three,Four,Three,Three,Four,Three,ratee-55,Three,Four,Three,Three,Four,Three,ratee-59,Three,Four,Three,Three,Four,Three,rator-35
11/12/21 9:20,Room M,,Four,Four,Four,Four,Four,Three,ratee-23,Four,Four,Four,Four,Four,Three,ratee-13,Four,Four,Four,Four,Four,Three,ratee-52,Four,Four,Four,Four,Four,Three,rator-06
11/12/21 9:20,Room O,,Three,Four,Three,Four,Three,Four,ratee-22,Three,Four,Three,Four,Three,Three,ratee-56,Three,Three,Three,Three,Four,Four,ratee-85,Four,Three,Four,Four,Three,Four,rator-08
11/12/21 9:20,Room Q,,Three,Four,Three,Three,Three,Three,ratee-24,Four,Four,Four,Three,Four,Three,ratee-45,Four,Three,Three,Four,Three,Four,ratee-86,Four,Four,Three,Four,Four,Four,rator-07
11/12/21 9:20,Room S,,Four,Four,Four,Four,Four,Three,ratee-25,Four,Four,Four,Four,Four,Three,ratee-57,Four,Four,Four,Four,Four,Three,ratee-18,Four,Four,Four,Four,Four,Four,rator-13
11/12/21 9:20,Room N,,Four,Four,Three,Four,Three,Three,ratee-26,Four,Four,Four,Four,Four,Four,ratee-12,Four,Four,Four,Four,Four,Four,ratee-87,Four,Four,Four,Four,Four,Four,rator-21
11/12/21 9:20,Room Q,,Four,Four,Four,Three,Three,Two,ratee-27,Four,Four,,Four,,,ratee-58,Four,Four,Four,Four,Four,Three,#N/A,,,,,,,rator-20
11/12/21 9:21,Room S,,Four,Four,Three,Three,Four,Two,ratee-05,Four,Four,Three,Four,Three,Two,ratee-59,Four,Four,Three,Three,Four,Three,ratee-18,Three,Three,Three,Two,Two,Three,rator-29
11/12/21 9:21,Room N,,Four,Four,Three,Four,Three,Three,ratee-11,Four,Four,Four,Three,Four,Three,ratee-60,Four,Three,Three,Four,Four,Three,ratee-88,Three,Four,Four,Three,Three,Three,rator-36
11/12/21 9:21,Room P,,Four,Four,Four,Four,Four,Four,ratee-28,Four,Four,Four,Four,Four,Four,ratee-06,Four,Four,Four,Four,Four,Four,ratee-89,Four,Four,Four,Four,Four,Four,rator-19
11/12/21 9:21,Room Q,,Four,Four,Four,Four,Four,Three,ratee-24,Four,Four,Four,Four,Three,Three,ratee-45,Three,Three,Three,Three,Three,Three,ratee-90,Three,Three,Three,Three,Three,Three,rator-33
11/12/21 9:21,Room P,,Four,Four,Four,Three,Four,Three,ratee-06,Four,Four,Four,Three,Four,Four,ratee-61,Four,Four,Four,Four,Four,Four,ratee-89,Four,Four,Four,Three,Four,Four,rator-12
11/12/21 9:22,Room R,,Four,Four,Four,Four,Three,Three,ratee-29,Four,Four,Four,Four,Four,Three,ratee-62,Four,Four,Four,Four,Four,Three,ratee-02,Four,Four,Four,Four,Four,Three,rator-28
11/12/21 9:22,Room R,,Four,Four,Four,Four,Four,Four,ratee-02,Four,Four,Four,Four,Four,Four,ratee-29,Four,Four,Four,Four,Four,Four,ratee-91,Four,Four,Four,Four,Four,Four,rator-11
11/12/21 9:22,Room S,,Four,Three,Three,Four,Three,Three,ratee-05,Four,Four,Three,Three,Three,Three,ratee-03,Four,Three,Four,Three,Three,Three,ratee-92,Three,Four,Three,Three,Three,Three,rator-14
