Title,Body,Rating,Date,Name
Don't use if you are a freelancer trying to get paid,"Trying to get paid as a music composer working with gamedevs overseas is an absolute nightmare with Paypal. Because the 2nd payment I have received has taken the total amount paid to over $500 NZD, Paypal has arbitraily decided to hold most of my payment. Apparently I need to announce that my ""order has been completed"" which I've done but gives me no guarantee of how long I'll have to wait until I have the whole balance. Then I'll have to transfer it to my bank account which also took ages last time. Not to mention the fee percentage isn't too great at all...",1,2023-09-25T04:08:59.000Z,William Braddell
Absolutely useless,Absolutely useless. Claim they haven’t received a refund when the company has provided evidence that they have. Then stops any conversation regarding it. Will never use them again. Perfect example of a major corporation who cares zero about customers.,1,2023-09-24T12:03:06.000Z,Big Jim
Don’t use PayPal,"Resolution centre total useless purchase goods for £92 supposed to be a uk site but when it finally arrived (from Singapore ) it was only part delivered and very very sub standard , tried to contact company but just got ignored . Resolution centre agreed to refund if I send them proof of return . Did just that ( at a further cost of £12.95) and PayPal came back and refuse as it was not enough proof and needs an online tracking number . Back and forth and the really don’t either read or understand what you had written . So now out of pocket out of patience and no goods . AVOID AT ALL COSTS!!!!!!!!!!!",1,2023-09-23T20:05:19.000Z,Jonathan Walker Cantwell
SHAME,"I have been a victim of a scam while paying through PayPal for goods and services.I called customer support to try to recover the money, and their response was:""YOU'RE ON YOUR OWN, NO COVERAGE FOR GOODS AND SERVICES.""So, what should I do?NOTHING, IT'S CLEARLY STATED IN THE CONTRACT.Shameful.",1,2023-09-25T13:21:24.000Z,Francesco Safe Salvo
Avoid like the plaque,"Avoid like the plaque. Holds payments arbitrarily, no matter how many times you contact them and provide all documents and proof they ask for, they won’t release the money. If they are refusing to give you your money, I strongly recommend contacting CSSF, if you are in Europe. Emptying your balance randomly to ZERO and taking all your money is illegal under the laws of all EU countries.",1,2023-09-21T22:23:15.000Z,Jan
I would NEVER USE PAYPAL AGAIN,"I would NEVER USE PAYPAL AGAIN. MADE A PAYMENT AND AFTER I REQUESTED PAYMENT ALLOCATION, THEY SENT ME AN EMAIL SAYING MY AUTO PAYMENT WAS CANCELLED AND REVERSED THE PAYMENT I MADE AND TELLING ME THAT I MAY BE OWING A FEE FOR LATE PAYMENT. SPOKE TO ONE OF ACCOUNT MANAGER SAYING THERE WAS SYSTEM GLITCH AND SHOULD BE GOOD TO GO THE NEXT DAY AND I'M HAVING SAME PROBLEM. PEOPLE DO NOT USE PAYPAL. YOU ARE WARNED",1,2023-09-23T03:01:18.000Z,D Y
DO NOT TRUST PAYPAL WITH YOUR PAYMENT CARDS,"I was recently hacked on my email account. The hacker got into all my accounts including ebay, Amazon, Audible etc. I contacted PayPal to advise them and said on many occasions during my phone calls, DO NOT SEND ANY NEW PAYMENT INFORMATION TO ANY ACCOUNT ASSOCIATED WITH MY OLD EMAIL AS THE HACKER HAS HOLD AND CAN SEE EVERYTHING ENTERED ON THESE ACCOUNTS. So paypal proceeds to allow every app associated with my old email address that the hacker still has of my new payment card details. Avoid PayPal at all cost. They cannot be trusted to keep your payment details secure from hackers.",1,2023-09-22T00:07:20.000Z,Vanessa
In bed with their vendors,"In bed with their vendors. Stop doing business with PayPal! Customers do not matter to PayPal, only their vendors.  Disputes are settled without emails or any discussion with PayPal paying customers. Use Ebay, far superior to PayPal! Booking number 11878234621, so E-Dreams  and PayPal cannot deny we booked and paid for a service that we NEVER received from E-Dreams.  With no refund offered by PayPal. I have photos of emails, chats, and Holiday Inn comments trying to help us, where the only travel agent that did not help us was E-Dreams and now PayPal!",1,2023-09-21T22:19:21.000Z,Todd Freund
Stupid App,Stupid AppThe customer support is releasing the calls and not well educated. they hold the money for no good reason and requesting Verification documents which has been already submitted 4 times before. worst on all level and can't be used for business or even for personal use. Needless to mention that the platform is full of bugs and never pop up the relevant message,1,2023-09-20T21:32:19.000Z,Sam Jimmy
Don’t use PayPal,"Resolution centre total useless purchase goods for £92 supposed to be a uk site but when it finally arrived (from Singapore ) it was only part delivered and very very sub standard , tried to contact company but just got ignored . Resolution centre agreed to refund if I send them proof of return . Did just that ( at a further cost of £12.95) and PayPal came back and refuse as it was not enough proof and needs an online tracking number . Back and forth and the really don’t either read or understand what you had written . So now out of pocket out of patience and no goods . AVOID AT ALL COSTS!!!!!!!!!!!",1,2023-09-22T00:14:30.000Z,Suzanne Dainton
