Date, Total Daily Amount 
07/01/2021," 214,160 "
08/01/2021," 37,710 "
09/01/2021," 104,650 "
10/01/2021," 139,630 "
11/01/2021," 237,840 "
12/01/2021," 151,820 "
07/02/2021," 133,880 "
08/02/2021," 192,760 "
09/02/2021," 206,110 "
10/02/2021," 74,990 "
11/02/2021," 150,970 "
12/02/2021," 270,490 "
07/03/2021," 62,460 "
08/03/2021," 128,590 "
09/03/2021," 125,120 "
10/03/2021," 30,230 "
11/03/2021," 130,660 "
12/03/2021," 135,630 "
07/04/2021," 33,980 "
08/04/2021," 110,520 "
09/04/2021," 57,180 "
10/04/2021," 223,640 "
11/04/2021," 241,710 "
12/04/2021," 73,260 "
07/05/2021," 212,740 "
08/05/2021," 212,580 "
09/05/2021," 31,840 "
10/05/2021," 132,910 "
11/05/2021," 184,260 "
12/05/2021," 50,070 "
13/05/2021," 22,000 "
07/06/2021," 131,660 "
08/06/2021," 128,490 "
09/06/2021," 213,590 "
10/06/2021," 136,280 "
11/06/2021," 101,850 "
12/06/2021," 261,070 "
07/07/2021," 109,570 "
08/07/2021," 59,200 "
09/07/2021," 113,940 "
10/07/2021," 241,712 "
11/07/2021," 59,940 "
12/07/2021," 160,160 "
13/07/2021," 126,520 "
14/07/2021," 126,300 "
15/07/2021," 221,650 "
16/07/2021," 130,740 "
17/07/2021," 60,990 "
18/07/2021," 42,120 "
19/07/2021," 209,660 "
20/07/2021," 98,130 "
21/07/2021," 117,010 "
22/07/2021," 212,930 "
23/07/2021," 134,850 "
24/07/2021," 62,450 "
25/07/2021," 44,190 "
26/07/2021," 209,120 "
27/07/2021," 134,000 "
28/07/2021," 118,570 "
29/07/2021," 203,270 "
30/07/2021," 115,780 "
31/07/2021," 62,870 "
07/08/2021," 201,980 "
08/08/2021," 33,260 "
09/08/2021," 111,260 "
10/08/2021," 144,780 "
11/08/2021," 304,030 "
12/08/2021," 143,030 "
13/08/2021," 125,090 "
14/08/2021," 54,850 "
15/08/2021," 36,690 "
16/08/2021," 203,970 "
17/08/2021," 126,710 "
18/08/2021," 100,820 "
19/08/2021," 203,440 "
20/08/2021," 118,300 "
21/08/2021," 53,460 "
22/08/2021," 34,600 "
23/08/2021," 194,260 "
24/08/2021," 122,260 "
25/08/2021," 105,630 "
26/08/2021," 220,590 "
27/08/2021," 112,470 "
28/08/2021," 50,010 "
29/08/2021," 31,430 "
30/08/2021," 194,440 "
31/08/2021," 128,580 "
07/09/2021," 126,430 "
08/09/2021," 199,350 "
09/09/2021," 202,540 "
10/09/2021," 70,870 "
12/09/2021," 285,350 "
13/09/2021," 197,370 "
14/09/2021," 121,960 "
15/09/2021," 101,110 "
16/09/2021," 214,420 "
17/09/2021," 128,230 "
18/09/2021," 57,310 "
19/09/2021," 32,820 "
20/09/2021," 199,990 "
21/09/2021," 133,770 "
22/09/2021," 117,952 "
23/09/2021," 222,930 "
24/09/2021," 130,240 "
25/09/2021," 42,420 "
26/09/2021," 32,030 "
27/09/2021," 210,360 "
28/09/2021," 126,700 "
29/09/2021," 119,210 "
30/09/2021," 234,640 "
07/10/2021," 60,260 "
08/10/2021," 126,300 "
09/10/2021," 116,940 "
10/10/2021," 31,970 "
11/10/2021," 143,440 "
12/10/2021," 169,680 "
13/10/2021," 122,670 "
14/10/2021," 237,120 "
15/10/2021," 137,150 "
16/10/2021," 67,080 "
17/10/2021," 28,780 "
18/10/2021," 233,760 "
19/10/2021," 125,510 "
20/10/2021," 44,760 "
21/10/2021," 226,700 "
22/10/2021," 142,180 "
23/10/2021," 62,780 "
24/10/2021," 31,590 "
25/10/2021," 231,560 "
26/10/2021," 125,820 "
27/10/2021," 120,550 "
28/10/2021," 245,500 "
29/10/2021," 135,270 "
30/10/2021," 66,820 "
31/10/2021," 34,500 "
07/11/2021," 41,120 "
08/11/2021," 103,830 "
09/11/2021," 54,020 "
10/11/2021," 215,260 "
11/11/2021," 299,540 "
12/11/2021," 102,662 "
13/11/2021," 91,660 "
14/11/2021," 50,070 "
15/11/2021," 282,100 "
16/11/2021," 162,560 "
17/11/2021," 171,810 "
18/11/2021," 292,060 "
19/11/2021," 171,010 "
20/11/2021," 99,930 "
22/11/2021," 284,030 "
