Date,Total Daily Amount
2021-01-07,214160.0
2021-01-08,37710.0
2021-01-09,104650.0
2021-01-10,139630.0
2021-01-11,237840.0
2021-01-12,151820.0
2021-02-07,133880.0
2021-02-08,192760.0
2021-02-09,206110.0
2021-02-10,74990.0
2021-02-11,150970.0
2021-02-12,270490.0
2021-03-07,62460.0
2021-03-08,128590.0
2021-03-09,125120.0
2021-03-10,30230.0
2021-03-11,130660.0
2021-03-12,135630.0
2021-04-07,33980.0
2021-04-08,110520.0
2021-04-09,57180.0
2021-04-10,223640.0
2021-04-11,241710.0
2021-04-12,73260.0
2021-05-07,212740.0
2021-05-08,212580.0
2021-05-09,31840.0
2021-05-10,132910.0
2021-05-11,184260.0
2021-05-12,50070.0
2021-05-13,22000.0
2021-06-07,131660.0
2021-06-08,128490.0
2021-06-09,213590.0
2021-06-10,136280.0
2021-06-11,101850.0
2021-06-12,261070.0
2021-07-07,109570.0
2021-07-08,59200.0
2021-07-09,113940.0
2021-07-10,241712.0
2021-07-11,59940.0
2021-07-12,160160.0
2021-07-13,126520.0
2021-07-14,126300.0
2021-07-15,221650.0
2021-07-16,130740.0
2021-07-17,60990.0
2021-07-18,42120.0
2021-07-19,209660.0
2021-07-20,98130.0
2021-07-21,117010.0
2021-07-22,212930.0
2021-07-23,134850.0
2021-07-24,62450.0
2021-07-25,44190.0
2021-07-26,209120.0
2021-07-27,134000.0
2021-07-28,118570.0
2021-07-29,203270.0
2021-07-30,115780.0
2021-07-31,62870.0
2021-08-07,201980.0
2021-08-08,33260.0
2021-08-09,111260.0
2021-08-10,144780.0
2021-08-11,304030.0
2021-08-12,143030.0
2021-08-13,125090.0
2021-08-14,54850.0
2021-08-15,36690.0
2021-08-16,203970.0
2021-08-17,126710.0
2021-08-18,100820.0
2021-08-19,203440.0
2021-08-20,118300.0
2021-08-21,53460.0
2021-08-22,34600.0
2021-08-23,194260.0
2021-08-24,122260.0
2021-08-25,105630.0
2021-08-26,220590.0
2021-08-27,112470.0
2021-08-28,50010.0
2021-08-29,31430.0
2021-08-30,194440.0
2021-08-31,128580.0
2021-09-07,126430.0
2021-09-08,199350.0
2021-09-09,202540.0
2021-09-10,70870.0
2021-09-11,1193969.99
2021-09-12,285350.0
2021-09-13,197370.0
2021-09-14,121960.0
2021-09-15,101110.0
2021-09-16,214420.0
2021-09-17,128230.0
2021-09-18,57310.0
2021-09-19,32820.0
2021-09-20,199990.0
2021-09-21,133770.0
2021-09-22,117952.0
2021-09-23,222930.0
2021-09-24,130240.0
2021-09-25,42420.0
2021-09-26,32030.0
2021-09-27,210360.0
2021-09-28,126700.0
2021-09-29,119210.0
2021-09-30,234640.0
2021-10-07,60260.0
2021-10-08,126300.0
2021-10-09,116940.0
2021-10-10,31970.0
2021-10-11,143440.0
2021-10-12,169680.0
2021-10-13,122670.0
2021-10-14,237120.0
2021-10-15,137150.0
2021-10-16,67080.0
2021-10-17,28780.0
